time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;Wind_Turbine_GEN_AVRSetpointPu
0.000000000;1.044e+00;8.333e-01;-1.347e-09;7.979e-01;-1.441e-08;1.045e+00;1.044e+00;7.500e-01;8.949e-09;1.000e+01;8.335e-01;1.556e-02;1.556e-02
0.001876000;1.045e+00;8.032e-01;-4.273e-03;7.685e-01;-4.088e-03;1.045e+00;1.045e+00;7.229e-01;-3.846e-03;1.000e+01;8.335e-01;1.556e-02;1.556e-02
0.003152000;1.046e+00;7.839e-01;-5.142e-03;7.491e-01;-4.914e-03;1.047e+00;1.046e+00;7.055e-01;-4.628e-03;1.000e+01;8.335e-01;1.556e-02;1.556e-02
0.003741000;1.047e+00;7.768e-01;-4.994e-03;7.419e-01;-4.770e-03;1.047e+00;1.047e+00;6.991e-01;-4.495e-03;1.000e+01;8.335e-01;1.556e-02;1.556e-02
0.006587000;1.050e+00;7.617e-01;-1.742e-03;7.258e-01;-1.660e-03;1.050e+00;1.050e+00;6.855e-01;-1.568e-03;1.000e+01;8.335e-01;1.556e-02;1.556e-02
0.006784000;1.050e+00;7.616e-01;-1.473e-03;7.256e-01;-1.404e-03;1.050e+00;1.050e+00;6.855e-01;-1.326e-03;1.000e+01;8.335e-01;1.556e-02;1.556e-02
0.008001000;1.050e+00;7.628e-01;4.443e-05;7.263e-01;4.232e-05;1.051e+00;1.050e+00;6.865e-01;4.000e-05;1.000e+01;8.335e-01;1.556e-02;1.556e-02
0.008884000;1.050e+00;7.647e-01;9.033e-04;7.280e-01;8.600e-04;1.051e+00;1.050e+00;6.883e-01;8.130e-04;1.000e+01;8.335e-01;1.556e-02;1.556e-02
0.011711000;1.050e+00;7.711e-01;2.056e-03;7.341e-01;1.957e-03;1.051e+00;1.050e+00;6.940e-01;1.850e-03;1.000e+01;8.335e-01;1.556e-02;1.556e-02
0.011888000;1.050e+00;7.713e-01;2.060e-03;7.343e-01;1.961e-03;1.051e+00;1.050e+00;6.942e-01;1.854e-03;1.000e+01;8.335e-01;1.556e-02;1.556e-02
0.014715000;1.050e+00;7.730e-01;1.579e-03;7.361e-01;1.504e-03;1.050e+00;1.050e+00;6.957e-01;1.421e-03;1.000e+01;8.335e-01;1.556e-02;1.556e-02
