time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_UPuInjTerminal;Wind_Turbine_GEN_IpInjTerminal;Wind_Turbine_GEN_IqInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu
0.000000000;1.000e+00;8.332e-01;-1.003e-09;8.332e-01;-2.116e-09;1.000e+00;8.332e-01;2.774e-03;1.000e+00;3.333e-02;7.169e-09;1.000e+01;8.335e-01;2.777e-03
19.999996000;1.000e+00;8.332e-01;5.970e-10;8.332e-01;3.967e-10;1.000e+00;8.332e-01;2.774e-03;1.000e+00;3.333e-02;3.756e-09;1.000e+01;8.335e-01;2.777e-03
19.999996000;1.000e+00;8.332e-01;8.480e-10;8.332e-01;3.984e-10;1.000e+00;8.332e-01;2.774e-03;1.000e+00;3.333e-02;3.633e-09;1.000e+01;8.335e-01;-1.945e-02
19.999998000;1.000e+00;8.332e-01;1.390e-09;8.333e-01;4.276e-10;1.000e+00;8.332e-01;2.774e-03;1.000e+00;3.333e-02;3.382e-09;1.000e+01;8.335e-01;-1.945e-02
20.000004000;1.000e+00;8.332e-01;1.967e-09;8.333e-01;4.775e-10;1.000e+00;8.332e-01;2.774e-03;1.000e+00;3.333e-02;3.137e-09;1.000e+01;8.335e-01;-1.945e-02
20.000012000;1.000e+00;8.332e-01;-2.500e-05;8.333e-01;-2.500e-05;1.000e+00;8.332e-01;2.774e-03;1.000e+00;3.333e-02;-9.970e-07;1.000e+01;8.335e-01;-1.945e-02
20.000028000;1.000e+00;8.332e-01;-2.500e-05;8.333e-01;-2.500e-05;1.000e+00;8.332e-01;2.749e-03;1.000e+00;3.333e-02;-9.971e-07;1.000e+01;8.335e-01;-1.945e-02
20.000060000;1.000e+00;8.332e-01;-7.500e-05;8.332e-01;-7.500e-05;1.000e+00;8.333e-01;2.724e-03;1.000e+00;3.333e-02;-2.997e-06;1.000e+01;8.335e-01;-1.945e-02
20.000124000;1.000e+00;8.332e-01;-1.500e-04;8.332e-01;-1.500e-04;1.000e+00;8.333e-01;2.649e-03;1.000e+00;3.333e-02;-5.997e-06;1.000e+01;8.335e-01;-1.945e-02
20.000252000;9.999e-01;8.332e-01;-2.750e-04;8.333e-01;-2.750e-04;1.000e+00;8.332e-01;2.499e-03;9.999e-01;3.333e-02;-1.100e-05;1.000e+01;8.335e-01;-1.945e-02
20.000508000;9.998e-01;8.331e-01;-5.500e-04;8.333e-01;-5.501e-04;1.000e+00;8.332e-01;2.250e-03;9.998e-01;3.332e-02;-2.200e-05;1.000e+01;8.335e-01;-1.945e-02
20.000764000;9.997e-01;8.330e-01;-8.000e-04;8.333e-01;-8.002e-04;1.000e+00;8.332e-01;1.975e-03;9.997e-01;3.332e-02;-3.200e-05;1.000e+01;8.335e-01;-1.945e-02
20.001020000;9.996e-01;8.329e-01;-1.075e-03;8.333e-01;-1.075e-03;1.000e+00;8.332e-01;1.725e-03;9.996e-01;3.332e-02;-4.300e-05;1.000e+01;8.335e-01;-1.945e-02
20.001276000;9.996e-01;8.329e-01;-1.325e-03;8.332e-01;-1.326e-03;9.999e-01;8.332e-01;1.475e-03;9.996e-01;3.331e-02;-5.300e-05;1.000e+01;8.335e-01;-1.945e-02
20.001532000;9.995e-01;8.328e-01;-1.550e-03;8.332e-01;-1.551e-03;9.998e-01;8.332e-01;1.225e-03;9.995e-01;3.331e-02;-6.200e-05;1.000e+01;8.335e-01;-1.945e-02
20.001788000;9.994e-01;8.327e-01;-1.800e-03;8.332e-01;-1.801e-03;9.997e-01;8.333e-01;9.753e-04;9.994e-01;3.331e-02;-7.200e-05;1.000e+01;8.335e-01;-1.945e-02
20.002044000;9.993e-01;8.327e-01;-2.025e-03;8.333e-01;-2.026e-03;9.996e-01;8.332e-01;7.503e-04;9.993e-01;3.331e-02;-8.100e-05;1.000e+01;8.335e-01;-1.945e-02
20.002300000;9.992e-01;8.326e-01;-2.275e-03;8.332e-01;-2.277e-03;9.996e-01;8.332e-01;5.252e-04;9.992e-01;3.330e-02;-9.100e-05;1.000e+01;8.335e-01;-1.945e-02
20.002556000;9.992e-01;8.325e-01;-2.475e-03;8.333e-01;-2.477e-03;9.995e-01;8.333e-01;3.002e-04;9.992e-01;3.330e-02;-9.900e-05;1.000e+01;8.335e-01;-1.945e-02
20.002812000;9.991e-01;8.325e-01;-2.700e-03;8.332e-01;-2.702e-03;9.994e-01;8.332e-01;7.504e-05;9.991e-01;3.330e-02;-1.080e-04;1.000e+01;8.335e-01;-1.945e-02
20.003068000;9.990e-01;8.324e-01;-2.925e-03;8.333e-01;-2.928e-03;9.993e-01;8.332e-01;-1.251e-04;9.990e-01;3.330e-02;-1.170e-04;1.000e+01;8.335e-01;-1.945e-02
20.003324000;9.989e-01;8.323e-01;-3.125e-03;8.332e-01;-3.128e-03;9.993e-01;8.333e-01;-3.252e-04;9.989e-01;3.329e-02;-1.250e-04;1.000e+01;8.335e-01;-1.945e-02
20.003580000;9.989e-01;8.323e-01;-3.325e-03;8.332e-01;-3.329e-03;9.992e-01;8.333e-01;-5.504e-04;9.989e-01;3.329e-02;-1.330e-04;1.000e+01;8.335e-01;-1.945e-02
20.003836000;9.988e-01;8.323e-01;-3.525e-03;8.333e-01;-3.529e-03;9.991e-01;8.332e-01;-7.256e-04;9.988e-01;3.329e-02;-1.410e-04;1.000e+01;8.335e-01;-1.945e-02
20.004092000;9.987e-01;8.322e-01;-3.700e-03;8.333e-01;-3.705e-03;9.991e-01;8.333e-01;-9.259e-04;9.987e-01;3.329e-02;-1.480e-04;1.000e+01;8.335e-01;-1.945e-02
20.004348000;9.987e-01;8.322e-01;-3.900e-03;8.333e-01;-3.905e-03;9.990e-01;8.333e-01;-1.101e-03;9.987e-01;3.329e-02;-1.560e-04;1.000e+01;8.335e-01;-1.945e-02
20.004604000;9.986e-01;8.321e-01;-4.075e-03;8.333e-01;-4.081e-03;9.989e-01;8.333e-01;-1.301e-03;9.986e-01;3.328e-02;-1.630e-04;1.000e+01;8.335e-01;-1.945e-02
20.004860000;9.985e-01;8.320e-01;-4.250e-03;8.333e-01;-4.256e-03;9.989e-01;8.333e-01;-1.477e-03;9.985e-01;3.328e-02;-1.700e-04;1.000e+01;8.335e-01;-1.945e-02
20.005372000;9.984e-01;8.320e-01;-4.575e-03;8.333e-01;-4.582e-03;9.988e-01;8.333e-01;-1.802e-03;9.984e-01;3.328e-02;-1.830e-04;1.000e+01;8.335e-01;-1.945e-02
20.005628000;9.984e-01;8.319e-01;-4.750e-03;8.333e-01;-4.758e-03;9.987e-01;8.333e-01;-1.953e-03;9.984e-01;3.328e-02;-1.900e-04;1.000e+01;8.335e-01;-1.945e-02
20.005884000;9.983e-01;8.319e-01;-4.900e-03;8.333e-01;-4.908e-03;9.987e-01;8.333e-01;-2.128e-03;9.983e-01;3.327e-02;-1.960e-04;1.000e+01;8.335e-01;-1.945e-02
20.006140000;9.983e-01;8.318e-01;-5.050e-03;8.333e-01;-5.059e-03;9.986e-01;8.333e-01;-2.278e-03;9.983e-01;3.327e-02;-2.020e-04;1.000e+01;8.335e-01;-1.945e-02
20.006396000;9.982e-01;8.318e-01;-5.200e-03;8.333e-01;-5.209e-03;9.985e-01;8.333e-01;-2.429e-03;9.982e-01;3.327e-02;-2.080e-04;1.000e+01;8.335e-01;-1.945e-02
20.006652000;9.982e-01;8.317e-01;-5.350e-03;8.333e-01;-5.360e-03;9.985e-01;8.333e-01;-2.579e-03;9.982e-01;3.327e-02;-2.140e-04;1.000e+01;8.335e-01;-1.945e-02
20.006908000;9.981e-01;8.317e-01;-5.500e-03;8.333e-01;-5.510e-03;9.984e-01;8.333e-01;-2.704e-03;9.981e-01;3.327e-02;-2.200e-04;1.000e+01;8.335e-01;-1.945e-02
20.007420000;9.980e-01;8.316e-01;-5.750e-03;8.333e-01;-5.761e-03;9.984e-01;8.333e-01;-2.980e-03;9.980e-01;3.327e-02;-2.300e-04;1.000e+01;8.335e-01;-1.945e-02
20.007881000;9.979e-01;8.316e-01;-6.000e-03;8.333e-01;-6.012e-03;9.983e-01;8.333e-01;-3.206e-03;9.979e-01;3.326e-02;-2.400e-04;1.000e+01;8.335e-01;-1.945e-02
