time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Bess_GEN_UPuInjTerminal;Bess_GEN_IpInjTerminal;Bess_GEN_IqInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Bess_GEN_AVRSetpointPu;Bess_GEN_NetworkFrequencyPu;NetworkFrequencyPu
0.000000000;1.044e+00;6.667e-01;-2.167e-01;6.383e-01;-2.074e-01;1.040e+00;6.573e-01;-1.893e-01;1.044e+00;4.000e-01;-1.300e-01;1.000e+01;9.808e-01;5.000e+01;5.000e+01
19.989997000;1.044e+00;6.666e-01;-2.167e-01;6.383e-01;-2.074e-01;1.040e+00;6.573e-01;-1.893e-01;1.044e+00;4.000e-01;-1.300e-01;1.000e+01;9.808e-01;5.000e+01;5.000e+01
19.990004000;1.044e+00;6.667e-01;-2.167e-01;6.383e-01;-2.074e-01;1.040e+00;6.573e-01;-1.893e-01;1.044e+00;4.000e-01;-1.300e-01;1.000e+01;9.808e-01;5.000e+01;5.000e+01
19.990028000;1.045e+00;6.669e-01;-2.167e-01;6.383e-01;-2.074e-01;1.040e+00;6.573e-01;-1.894e-01;1.045e+00;4.001e-01;-1.300e-01;1.000e+01;9.808e-01;5.000e+01;5.000e+01
19.990124000;1.046e+00;6.677e-01;-2.170e-01;6.383e-01;-2.074e-01;1.041e+00;6.573e-01;-1.894e-01;1.046e+00;4.006e-01;-1.302e-01;1.000e+01;9.808e-01;5.000e+01;5.000e+01
19.990252000;1.048e+00;6.687e-01;-2.173e-01;6.383e-01;-2.074e-01;1.043e+00;6.572e-01;-1.894e-01;1.048e+00;4.012e-01;-1.304e-01;1.000e+01;9.808e-01;4.999e+01;4.999e+01
19.990636000;1.053e+00;6.719e-01;-2.183e-01;6.383e-01;-2.074e-01;1.048e+00;6.572e-01;-1.894e-01;1.053e+00;4.031e-01;-1.310e-01;1.000e+01;9.808e-01;4.999e+01;4.999e+01
19.990821000;1.055e+00;6.734e-01;-2.188e-01;6.383e-01;-2.074e-01;1.050e+00;6.572e-01;-1.894e-01;1.055e+00;4.040e-01;-1.313e-01;1.000e+01;9.808e-01;4.998e+01;4.998e+01
19.991589000;1.065e+00;6.796e-01;-2.207e-01;6.383e-01;-2.072e-01;1.060e+00;6.572e-01;-1.893e-01;1.065e+00;4.078e-01;-1.324e-01;1.000e+01;9.808e-01;4.998e+01;4.998e+01
19.991845000;1.068e+00;6.817e-01;-2.213e-01;6.383e-01;-2.072e-01;1.063e+00;6.572e-01;-1.893e-01;1.068e+00;4.090e-01;-1.328e-01;1.000e+01;9.808e-01;4.997e+01;4.997e+01
19.992613000;1.078e+00;6.879e-01;-2.231e-01;6.383e-01;-2.070e-01;1.073e+00;6.571e-01;-1.892e-01;1.078e+00;4.128e-01;-1.339e-01;1.000e+01;9.808e-01;4.997e+01;4.997e+01
19.994330000;1.100e+00;7.016e-01;-2.274e-01;6.380e-01;-2.067e-01;1.095e+00;6.568e-01;-1.892e-01;1.100e+00;4.210e-01;-1.364e-01;1.000e+01;9.808e-01;4.997e+01;4.997e+01
19.994522000;1.102e+00;7.031e-01;-2.279e-01;6.379e-01;-2.067e-01;1.098e+00;6.567e-01;-1.892e-01;1.102e+00;4.219e-01;-1.367e-01;1.000e+01;9.808e-01;4.997e+01;4.997e+01
19.994778000;1.105e+00;7.051e-01;-2.286e-01;6.378e-01;-2.068e-01;1.101e+00;6.566e-01;-1.892e-01;1.105e+00;4.231e-01;-1.371e-01;1.000e+01;9.808e-01;4.997e+01;4.997e+01
19.995290000;1.112e+00;7.091e-01;-2.301e-01;6.376e-01;-2.069e-01;1.107e+00;6.564e-01;-1.895e-01;1.112e+00;4.254e-01;-1.381e-01;1.000e+01;9.808e-01;4.997e+01;4.997e+01
19.995802000;1.119e+00;7.130e-01;-2.318e-01;6.374e-01;-2.073e-01;1.114e+00;6.562e-01;-1.899e-01;1.119e+00;4.278e-01;-1.391e-01;1.000e+01;9.808e-01;4.997e+01;4.997e+01
19.996058000;1.122e+00;7.149e-01;-2.328e-01;6.373e-01;-2.075e-01;1.117e+00;6.560e-01;-1.901e-01;1.122e+00;4.290e-01;-1.397e-01;1.000e+01;9.808e-01;4.997e+01;4.997e+01
19.997543000;1.141e+00;7.259e-01;-2.391e-01;6.363e-01;-2.096e-01;1.136e+00;6.551e-01;-1.924e-01;1.141e+00;4.356e-01;-1.435e-01;1.000e+01;9.808e-01;4.997e+01;4.997e+01
19.998003000;1.147e+00;7.293e-01;-2.415e-01;6.360e-01;-2.106e-01;1.142e+00;6.547e-01;-1.934e-01;1.147e+00;4.376e-01;-1.449e-01;1.000e+01;9.808e-01;4.997e+01;4.997e+01
19.998464000;1.153e+00;7.325e-01;-2.440e-01;6.355e-01;-2.117e-01;1.148e+00;6.543e-01;-1.946e-01;1.153e+00;4.395e-01;-1.464e-01;1.000e+01;9.808e-01;4.997e+01;4.997e+01
