time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;PV_Array_GEN_MagnitudeControlledByAVRPu;PV_Array_GEN_VoltageInjTerminal;PV_Array_GEN_ActiveCurrentInjTerminal;PV_Array_GEN_ReactiveCurrentInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;Main_Xfmr_XFMR_Tap;PV_Array_GEN_ActivePowerSetpointPu;PV_Array_GEN_ReactivePowerSetpointPu;PV_Array_GEN_VoltageSetpointPu;PV_Array_GEN_NetworkFrequencyPu;NetworkFrequencyPu
0.000000;1.044e+00;8.333e-01;-3.333e-06;7.979e-01;-3.191e-06;1.044e+00;1.058e+00;8.071e-01;4.853e-02;1.044e+00;7.500e-01;-3.000e-06;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.000128;1.044e+00;8.333e-01;-3.333e-06;7.979e-01;-3.191e-06;1.044e+00;1.058e+00;8.071e-01;4.852e-02;1.044e+00;7.500e-01;-3.000e-06;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.000256;1.044e+00;8.333e-01;-4.444e-06;7.978e-01;-4.255e-06;1.044e+00;1.058e+00;8.071e-01;4.852e-02;1.044e+00;7.500e-01;-4.000e-06;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.001024;1.044e+00;8.333e-01;-6.667e-06;7.978e-01;-6.383e-06;1.044e+00;1.058e+00;8.070e-01;4.852e-02;1.044e+00;7.500e-01;-6.000e-06;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.002024;1.044e+00;8.333e-01;-8.889e-06;7.978e-01;-8.511e-06;1.044e+00;1.058e+00;8.070e-01;4.852e-02;1.044e+00;7.499e-01;-8.000e-06;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.003024;1.044e+00;8.333e-01;-1.222e-05;7.978e-01;-1.170e-05;1.044e+00;1.058e+00;8.070e-01;4.851e-02;1.044e+00;7.499e-01;-1.100e-05;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.004024;1.044e+00;8.332e-01;-1.444e-05;7.978e-01;-1.383e-05;1.044e+00;1.058e+00;8.070e-01;4.851e-02;1.044e+00;7.499e-01;-1.300e-05;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.005024;1.044e+00;8.332e-01;-1.667e-05;7.978e-01;-1.596e-05;1.044e+00;1.058e+00;8.070e-01;4.850e-02;1.044e+00;7.499e-01;-1.500e-05;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.006024;1.044e+00;8.332e-01;-1.889e-05;7.978e-01;-1.809e-05;1.044e+00;1.058e+00;8.070e-01;4.850e-02;1.044e+00;7.499e-01;-1.700e-05;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
0.007024;1.044e+00;8.332e-01;-2.111e-05;7.977e-01;-2.021e-05;1.044e+00;1.058e+00;8.069e-01;4.850e-02;1.044e+00;7.499e-01;-1.900e-05;1.000e+01;8.333e-01;0.000e+00;1.044e+00;5.000e+01;5.000e+01
