;time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;Wind_Turbine_GEN_AVRSetpointPu
0;0.000e+00;1.044e+00;8.333e-01;-8.405e-08;7.979e-01;-8.047e-08;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
1;1.000e-06;1.044e+00;8.333e-01;-8.405e-08;7.979e-01;-8.047e-08;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
2;2.000e-06;1.044e+00;8.333e-01;-8.405e-08;7.979e-01;-8.047e-08;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
3;4.000e-06;1.044e+00;8.333e-01;-8.405e-08;7.979e-01;-8.047e-08;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
4;8.000e-06;1.044e+00;8.333e-01;-8.405e-08;7.979e-01;-8.047e-08;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
5;1.600e-05;1.044e+00;8.333e-01;-8.405e-08;7.979e-01;-8.047e-08;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
6;3.200e-05;1.044e+00;8.333e-01;-8.405e-08;7.979e-01;-8.047e-08;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
7;6.400e-05;1.044e+00;8.333e-01;-8.785e-07;7.979e-01;-8.411e-07;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
8;1.280e-04;1.044e+00;8.333e-01;-4.370e-08;7.979e-01;-4.184e-08;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
9;2.560e-04;1.044e+00;8.333e-01;-6.448e-07;7.979e-01;-6.174e-07;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
10;5.120e-04;1.044e+00;8.333e-01;-1.746e-06;7.978e-01;-1.672e-06;1.045e+00;1.000e+01;8.335e-01;1.556e-02;1.556e-02
