time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;InfiniteBus_BUS_NetworkFrequencyPu;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;Wind_Turbine_GEN_AVRSetpointPu;Wind_Turbine_GEN_InjectedActiveCurrent;Wind_Turbine_GEN_InjectedReactiveCurrent;Wind_Turbine_GEN_InjectedCurrent;NetworkFrequencyPu
0.000000000;9.922e-01;4.167e-01;-4.444e-01;4.199e-01;-4.479e-01;9.814e-01;1.000e+00;1.000e+01;-4.168e-01;4.352e-01;4.352e-01;4.247e-01;4.435e-01;6.140e-01;1.000e+00
0.000001000;9.922e-01;4.167e-01;-4.444e-01;4.199e-01;-4.479e-01;9.814e-01;1.000e+00;1.000e+01;-4.168e-01;4.352e-01;4.352e-01;4.247e-01;4.434e-01;6.140e-01;1.000e+00
0.000002000;9.922e-01;4.167e-01;-4.444e-01;4.199e-01;-4.479e-01;9.814e-01;1.000e+00;1.000e+01;-4.168e-01;4.352e-01;4.352e-01;4.247e-01;4.434e-01;6.140e-01;1.000e+00
0.000004000;9.922e-01;4.167e-01;-4.444e-01;4.199e-01;-4.479e-01;9.814e-01;1.000e+00;1.000e+01;-4.168e-01;4.352e-01;4.352e-01;4.247e-01;4.434e-01;6.140e-01;1.000e+00
0.000008000;9.922e-01;4.167e-01;-4.444e-01;4.199e-01;-4.478e-01;9.815e-01;1.000e+00;1.000e+01;-4.168e-01;4.352e-01;4.352e-01;4.247e-01;4.434e-01;6.139e-01;1.000e+00
0.000016000;9.922e-01;4.167e-01;-4.443e-01;4.199e-01;-4.478e-01;9.815e-01;1.000e+00;1.000e+01;-4.168e-01;4.352e-01;4.352e-01;4.247e-01;4.433e-01;6.139e-01;1.000e+00
0.000032000;9.923e-01;4.167e-01;-4.441e-01;4.199e-01;-4.476e-01;9.815e-01;1.000e+00;1.000e+01;-4.168e-01;4.352e-01;4.352e-01;4.247e-01;4.431e-01;6.137e-01;1.000e+00
0.000064000;9.923e-01;4.167e-01;-4.438e-01;4.199e-01;-4.472e-01;9.815e-01;1.000e+00;1.000e+01;-4.168e-01;4.352e-01;4.352e-01;4.247e-01;4.428e-01;6.135e-01;1.000e+00
0.000128000;9.924e-01;4.167e-01;-4.431e-01;4.199e-01;-4.465e-01;9.816e-01;1.000e+00;1.000e+01;-4.168e-01;4.352e-01;4.352e-01;4.246e-01;4.421e-01;6.130e-01;1.000e+00
0.000192000;9.925e-01;4.168e-01;-4.425e-01;4.199e-01;-4.458e-01;9.817e-01;1.000e+00;1.000e+01;-4.168e-01;4.352e-01;4.352e-01;4.246e-01;4.414e-01;6.125e-01;1.000e+00
