time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu
0.000000000;1.044e+00;8.333e-01;-3.304e-09;7.979e-01;-1.339e-09;1.045e+00;1.044e+00;7.500e-01;3.086e-09;1.000e+01;8.335e-01;1.556e-02
19.999996000;1.044e+00;8.333e-01;-3.223e-09;7.979e-01;6.963e-11;1.045e+00;1.044e+00;7.500e-01;2.521e-09;1.000e+01;8.335e-01;1.556e-02
19.999996000;1.044e+00;8.333e-01;-3.189e-09;7.979e-01;7.653e-11;1.045e+00;1.044e+00;7.500e-01;2.040e-09;1.000e+01;8.335e-01;-4.438e-03
20.000028000;1.044e+00;8.333e-01;-1.422e-04;7.979e-01;-1.362e-04;1.045e+00;1.044e+00;7.500e-01;-1.280e-04;1.000e+01;8.335e-01;-4.438e-03
20.000060000;1.044e+00;8.332e-01;-2.833e-04;7.979e-01;-2.713e-04;1.045e+00;1.044e+00;7.499e-01;-2.550e-04;1.000e+01;8.335e-01;-4.438e-03
20.000124000;1.044e+00;8.331e-01;-5.622e-04;7.979e-01;-5.384e-04;1.045e+00;1.044e+00;7.498e-01;-5.060e-04;1.000e+01;8.335e-01;-4.438e-03
20.000188000;1.044e+00;8.331e-01;-8.344e-04;7.979e-01;-7.992e-04;1.044e+00;1.044e+00;7.498e-01;-7.510e-04;1.000e+01;8.335e-01;-4.438e-03
20.000252000;1.044e+00;8.330e-01;-1.101e-03;7.979e-01;-1.055e-03;1.044e+00;1.044e+00;7.497e-01;-9.910e-04;1.000e+01;8.335e-01;-4.438e-03
20.000316000;1.044e+00;8.329e-01;-1.363e-03;7.978e-01;-1.306e-03;1.044e+00;1.044e+00;7.496e-01;-1.227e-03;1.000e+01;8.335e-01;-4.438e-03
20.000380000;1.044e+00;8.328e-01;-1.620e-03;7.978e-01;-1.552e-03;1.044e+00;1.044e+00;7.495e-01;-1.458e-03;1.000e+01;8.335e-01;-4.438e-03
