time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_AVRSetpointPu;Wind_Turbine_GEN_InjectedActiveCurrent;Wind_Turbine_GEN_InjectedReactiveCurrent
0.000000000;1.044e+00;8.332e-01;-1.760e-09;7.978e-01;4.614e-09;1.044e+00;3.333e-02;-3.800e-09;1.000e+01;8.333e-01;1.044e+00;7.978e-01;-6.620e-04
19.999996000;1.044e+00;8.332e-01;-3.309e-09;7.978e-01;3.353e-09;1.044e+00;3.333e-02;4.398e-10;1.000e+01;8.333e-01;1.044e+00;7.978e-01;-6.620e-04
19.999996000;1.044e+00;8.332e-01;-3.116e-09;7.978e-01;3.294e-09;1.044e+00;3.333e-02;6.804e-10;1.000e+01;8.333e-01;1.097e+00;7.978e-01;-6.620e-04
20.000000000;1.044e+00;8.332e-01;-2.515e-09;7.978e-01;3.160e-09;1.044e+00;3.333e-02;1.434e-09;1.000e+01;8.333e-01;1.097e+00;7.978e-01;-6.730e-04
20.000004000;1.044e+00;8.332e-01;2.500e-05;7.978e-01;2.394e-05;1.044e+00;3.333e-02;1.002e-06;1.000e+01;8.333e-01;1.097e+00;7.978e-01;-6.830e-04
20.000012000;1.044e+00;8.333e-01;5.000e-05;7.978e-01;4.787e-05;1.044e+00;3.333e-02;2.002e-06;1.000e+01;8.333e-01;1.097e+00;7.978e-01;-7.040e-04
20.000028000;1.044e+00;8.333e-01;7.500e-05;7.978e-01;7.181e-05;1.044e+00;3.333e-02;3.002e-06;1.000e+01;8.333e-01;1.097e+00;7.978e-01;-7.460e-04
20.000060000;1.045e+00;8.333e-01;1.750e-04;7.978e-01;1.675e-04;1.045e+00;3.333e-02;7.002e-06;1.000e+01;8.333e-01;1.097e+00;7.978e-01;-8.290e-04
20.000124000;1.045e+00;8.334e-01;3.500e-04;7.978e-01;3.351e-04;1.045e+00;3.333e-02;1.400e-05;1.000e+01;8.333e-01;1.097e+00;7.978e-01;-9.950e-04
20.000252000;1.045e+00;8.335e-01;6.750e-04;7.978e-01;6.461e-04;1.045e+00;3.334e-02;2.700e-05;1.000e+01;8.333e-01;1.097e+00;7.978e-01;-1.326e-03
20.000764000;1.045e+00;8.339e-01;2.000e-03;7.978e-01;1.913e-03;1.045e+00;3.336e-02;8.000e-05;1.000e+01;8.333e-01;1.097e+00;7.978e-01;-2.630e-03
20.001020000;1.045e+00;8.341e-01;2.675e-03;7.978e-01;2.559e-03;1.045e+00;3.336e-02;1.070e-04;1.000e+01;8.333e-01;1.097e+00;7.978e-01;-3.269e-03
20.001276000;1.046e+00;8.343e-01;3.325e-03;7.978e-01;3.180e-03;1.046e+00;3.337e-02;1.330e-04;1.000e+01;8.333e-01;1.097e+00;7.978e-01;-3.899e-03
20.001788000;1.046e+00;8.347e-01;4.625e-03;7.978e-01;4.420e-03;1.046e+00;3.339e-02;1.850e-04;1.000e+01;8.333e-01;1.097e+00;7.978e-01;-5.136e-03
20.002300000;1.047e+00;8.351e-01;5.875e-03;7.978e-01;5.613e-03;1.047e+00;3.340e-02;2.350e-04;1.000e+01;8.333e-01;1.097e+00;7.978e-01;-6.340e-03
20.002812000;1.047e+00;8.355e-01;7.100e-03;7.978e-01;6.780e-03;1.047e+00;3.342e-02;2.840e-04;1.000e+01;8.333e-01;1.097e+00;7.978e-01;-7.511e-03
20.003324000;1.048e+00;8.358e-01;8.300e-03;7.978e-01;7.922e-03;1.048e+00;3.343e-02;3.320e-04;1.000e+01;8.333e-01;1.097e+00;7.978e-01;-8.650e-03
20.003836000;1.048e+00;8.362e-01;9.450e-03;7.978e-01;9.016e-03;1.048e+00;3.345e-02;3.780e-04;1.000e+01;8.333e-01;1.097e+00;7.978e-01;-9.757e-03
20.004348000;1.049e+00;8.366e-01;1.060e-02;7.978e-01;1.011e-02;1.049e+00;3.346e-02;4.240e-04;1.000e+01;8.333e-01;1.097e+00;7.977e-01;-1.083e-02
20.004860000;1.049e+00;8.369e-01;1.170e-02;7.977e-01;1.115e-02;1.049e+00;3.347e-02;4.680e-04;1.000e+01;8.333e-01;1.097e+00;7.977e-01;-1.188e-02
20.005372000;1.049e+00;8.372e-01;1.275e-02;7.977e-01;1.215e-02;1.049e+00;3.349e-02;5.100e-04;1.000e+01;8.333e-01;1.097e+00;7.977e-01;-1.289e-02
20.005884000;1.050e+00;8.375e-01;1.380e-02;7.977e-01;1.314e-02;1.050e+00;3.350e-02;5.520e-04;1.000e+01;8.333e-01;1.097e+00;7.977e-01;-1.387e-02
