time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_AVRSetpointPu
0.000000000;1.044e+00;8.333e-01;-1.339e-09;7.979e-01;-5.247e-09;1.045e+00;1.044e+00;7.500e-01;-4.258e-09;1.000e+01;8.335e-01;1.045e+00
19.999996000;1.044e+00;8.333e-01;-5.130e-10;7.979e-01;3.987e-09;1.045e+00;1.044e+00;7.500e-01;-1.970e-09;1.000e+01;8.335e-01;1.045e+00
19.999996000;1.044e+00;8.333e-01;-7.671e-10;7.979e-01;3.879e-09;1.045e+00;1.044e+00;7.500e-01;-2.032e-09;1.000e+01;8.335e-01;1.097e+00
20.000012000;1.044e+00;8.333e-01;4.222e-05;7.979e-01;4.042e-05;1.045e+00;1.044e+00;7.500e-01;3.800e-05;1.000e+01;8.335e-01;1.097e+00
20.000028000;1.044e+00;8.334e-01;8.444e-05;7.979e-01;8.085e-05;1.045e+00;1.044e+00;7.500e-01;7.600e-05;1.000e+01;8.335e-01;1.097e+00
20.000060000;1.045e+00;8.334e-01;1.700e-04;7.979e-01;1.628e-04;1.045e+00;1.045e+00;7.501e-01;1.530e-04;1.000e+01;8.335e-01;1.097e+00
20.000124000;1.045e+00;8.334e-01;3.400e-04;7.979e-01;3.255e-04;1.045e+00;1.045e+00;7.501e-01;3.060e-04;1.000e+01;8.335e-01;1.097e+00
20.000252000;1.045e+00;8.336e-01;6.789e-04;7.979e-01;6.498e-04;1.045e+00;1.045e+00;7.502e-01;6.110e-04;1.000e+01;8.335e-01;1.097e+00
20.000508000;1.045e+00;8.338e-01;1.353e-03;7.979e-01;1.295e-03;1.045e+00;1.045e+00;7.504e-01;1.218e-03;1.000e+01;8.335e-01;1.097e+00
20.000764000;1.045e+00;8.340e-01;2.023e-03;7.979e-01;1.936e-03;1.046e+00;1.045e+00;7.506e-01;1.821e-03;1.000e+01;8.335e-01;1.097e+00
20.001276000;1.046e+00;8.344e-01;3.343e-03;7.979e-01;3.197e-03;1.046e+00;1.046e+00;7.510e-01;3.009e-03;1.000e+01;8.335e-01;1.097e+00
20.001737000;1.046e+00;8.348e-01;4.510e-03;7.980e-01;4.311e-03;1.047e+00;1.046e+00;7.513e-01;4.059e-03;1.000e+01;8.335e-01;1.097e+00
20.002198000;1.047e+00;8.352e-01;5.652e-03;7.980e-01;5.400e-03;1.047e+00;1.047e+00;7.517e-01;5.087e-03;1.000e+01;8.335e-01;1.097e+00
20.002658000;1.047e+00;8.356e-01;6.769e-03;7.980e-01;6.464e-03;1.048e+00;1.047e+00;7.520e-01;6.092e-03;1.000e+01;8.335e-01;1.097e+00
20.003119000;1.048e+00;8.359e-01;7.861e-03;7.980e-01;7.504e-03;1.048e+00;1.048e+00;7.523e-01;7.075e-03;1.000e+01;8.335e-01;1.097e+00
20.003580000;1.048e+00;8.363e-01;8.927e-03;7.980e-01;8.518e-03;1.049e+00;1.048e+00;7.526e-01;8.034e-03;1.000e+01;8.335e-01;1.097e+00
20.004041000;1.048e+00;8.366e-01;9.967e-03;7.980e-01;9.507e-03;1.049e+00;1.048e+00;7.529e-01;8.970e-03;1.000e+01;8.335e-01;1.097e+00
20.004502000;1.049e+00;8.369e-01;1.098e-02;7.980e-01;1.047e-02;1.049e+00;1.049e+00;7.532e-01;9.883e-03;1.000e+01;8.335e-01;1.097e+00
20.004962000;1.049e+00;8.372e-01;1.197e-02;7.980e-01;1.141e-02;1.050e+00;1.049e+00;7.535e-01;1.077e-02;1.000e+01;8.335e-01;1.097e+00
20.005423000;1.050e+00;8.375e-01;1.293e-02;7.980e-01;1.232e-02;1.050e+00;1.050e+00;7.538e-01;1.164e-02;1.000e+01;8.335e-01;1.097e+00
20.005884000;1.050e+00;8.378e-01;1.387e-02;7.980e-01;1.321e-02;1.051e+00;1.050e+00;7.540e-01;1.248e-02;1.000e+01;8.335e-01;1.097e+00
20.006345000;1.050e+00;8.381e-01;1.478e-02;7.980e-01;1.407e-02;1.051e+00;1.050e+00;7.543e-01;1.330e-02;1.000e+01;8.335e-01;1.097e+00
20.006806000;1.051e+00;8.384e-01;1.567e-02;7.980e-01;1.491e-02;1.051e+00;1.051e+00;7.545e-01;1.410e-02;1.000e+01;8.335e-01;1.097e+00
20.007266000;1.051e+00;8.386e-01;1.653e-02;7.980e-01;1.573e-02;1.052e+00;1.051e+00;7.547e-01;1.488e-02;1.000e+01;8.335e-01;1.097e+00
20.007727000;1.051e+00;8.389e-01;1.737e-02;7.980e-01;1.653e-02;1.052e+00;1.051e+00;7.550e-01;1.563e-02;1.000e+01;8.335e-01;1.097e+00
20.008188000;1.052e+00;8.391e-01;1.819e-02;7.979e-01;1.730e-02;1.052e+00;1.052e+00;7.552e-01;1.637e-02;1.000e+01;8.335e-01;1.097e+00
20.008649000;1.052e+00;8.393e-01;1.898e-02;7.979e-01;1.804e-02;1.053e+00;1.052e+00;7.554e-01;1.708e-02;1.000e+01;8.335e-01;1.097e+00
20.009110000;1.052e+00;8.395e-01;1.975e-02;7.979e-01;1.877e-02;1.053e+00;1.052e+00;7.556e-01;1.777e-02;1.000e+01;8.335e-01;1.097e+00
20.009570000;1.052e+00;8.397e-01;2.050e-02;7.978e-01;1.947e-02;1.053e+00;1.052e+00;7.557e-01;1.845e-02;1.000e+01;8.335e-01;1.097e+00
20.010031000;1.053e+00;8.399e-01;2.122e-02;7.978e-01;2.016e-02;1.054e+00;1.053e+00;7.559e-01;1.910e-02;1.000e+01;8.335e-01;1.097e+00
20.010492000;1.053e+00;8.401e-01;2.193e-02;7.978e-01;2.082e-02;1.054e+00;1.053e+00;7.561e-01;1.973e-02;1.000e+01;8.335e-01;1.097e+00
20.010953000;1.053e+00;8.402e-01;2.261e-02;7.977e-01;2.146e-02;1.054e+00;1.053e+00;7.562e-01;2.035e-02;1.000e+01;8.335e-01;1.097e+00
20.011414000;1.054e+00;8.404e-01;2.327e-02;7.977e-01;2.209e-02;1.055e+00;1.054e+00;7.564e-01;2.094e-02;1.000e+01;8.335e-01;1.097e+00
20.011874000;1.054e+00;8.406e-01;2.391e-02;7.976e-01;2.269e-02;1.055e+00;1.054e+00;7.565e-01;2.152e-02;1.000e+01;8.335e-01;1.097e+00
20.012796000;1.054e+00;8.408e-01;2.514e-02;7.975e-01;2.384e-02;1.055e+00;1.054e+00;7.567e-01;2.262e-02;1.000e+01;8.335e-01;1.097e+00
20.013095000;1.054e+00;8.409e-01;2.552e-02;7.975e-01;2.420e-02;1.055e+00;1.054e+00;7.568e-01;2.296e-02;1.000e+01;8.335e-01;1.097e+00
20.013159000;1.054e+00;8.409e-01;2.560e-02;7.975e-01;2.427e-02;1.055e+00;1.054e+00;7.568e-01;2.304e-02;1.000e+01;8.335e-01;1.097e+00
20.013223000;1.055e+00;8.409e-01;2.568e-02;7.975e-01;2.435e-02;1.056e+00;1.055e+00;7.568e-01;2.311e-02;1.000e+01;8.335e-01;1.097e+00
20.013351000;1.055e+00;8.410e-01;2.584e-02;7.974e-01;2.450e-02;1.056e+00;1.055e+00;7.569e-01;2.325e-02;1.000e+01;8.335e-01;1.097e+00
20.013607000;1.055e+00;8.410e-01;2.615e-02;7.974e-01;2.479e-02;1.056e+00;1.055e+00;7.569e-01;2.353e-02;1.000e+01;8.335e-01;1.097e+00
