time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;Wind_Turbine_GEN_AVRSetpointPu
0.000000000;1.044e+00;8.333e-01;-4.444e-01;7.979e-01;-4.255e-01;1.034e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.000001000;1.044e+00;8.333e-01;-4.444e-01;7.979e-01;-4.255e-01;1.034e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.000002000;1.044e+00;8.333e-01;-4.444e-01;7.979e-01;-4.255e-01;1.034e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.000004000;1.044e+00;8.333e-01;-4.444e-01;7.979e-01;-4.255e-01;1.034e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.000008000;1.044e+00;8.333e-01;-4.444e-01;7.979e-01;-4.255e-01;1.034e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.000016000;1.044e+00;8.333e-01;-4.444e-01;7.979e-01;-4.255e-01;1.034e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.000032000;1.044e+00;8.333e-01;-4.444e-01;7.979e-01;-4.255e-01;1.034e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.000064000;1.044e+00;8.333e-01;-4.444e-01;7.979e-01;-4.255e-01;1.034e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.000128000;1.044e+00;8.333e-01;-4.444e-01;7.979e-01;-4.255e-01;1.034e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.000256000;1.044e+00;8.333e-01;-4.444e-01;7.979e-01;-4.255e-01;1.034e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.000384000;1.044e+00;8.333e-01;-4.444e-01;7.979e-01;-4.255e-01;1.034e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.000640000;1.044e+00;8.333e-01;-4.445e-01;7.978e-01;-4.255e-01;1.034e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.000896000;1.044e+00;8.332e-01;-4.445e-01;7.978e-01;-4.256e-01;1.034e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.001152000;1.044e+00;8.331e-01;-4.445e-01;7.977e-01;-4.256e-01;1.034e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.001408000;1.044e+00;8.330e-01;-4.445e-01;7.976e-01;-4.256e-01;1.034e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.001664000;1.044e+00;8.329e-01;-4.445e-01;7.974e-01;-4.256e-01;1.034e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.001920000;1.044e+00;8.327e-01;-4.445e-01;7.973e-01;-4.256e-01;1.034e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.002176000;1.044e+00;8.325e-01;-4.446e-01;7.971e-01;-4.256e-01;1.034e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.002432000;1.044e+00;8.323e-01;-4.446e-01;7.969e-01;-4.257e-01;1.034e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.002688000;1.044e+00;8.321e-01;-4.446e-01;7.967e-01;-4.257e-01;1.034e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.003200000;1.044e+00;8.315e-01;-4.447e-01;7.961e-01;-4.258e-01;1.034e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.003712000;1.044e+00;8.309e-01;-4.448e-01;7.955e-01;-4.259e-01;1.034e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.004224000;1.044e+00;8.301e-01;-4.449e-01;7.947e-01;-4.260e-01;1.034e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.004736000;1.045e+00;8.292e-01;-4.450e-01;7.939e-01;-4.261e-01;1.035e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.005248000;1.045e+00;8.283e-01;-4.452e-01;7.930e-01;-4.262e-01;1.035e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.006272000;1.045e+00;8.261e-01;-4.454e-01;7.908e-01;-4.264e-01;1.035e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.007296000;1.045e+00;8.237e-01;-4.457e-01;7.884e-01;-4.267e-01;1.035e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.008320000;1.045e+00;8.210e-01;-4.460e-01;7.858e-01;-4.269e-01;1.035e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.009344000;1.045e+00;8.182e-01;-4.463e-01;7.831e-01;-4.271e-01;1.035e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.011392000;1.045e+00;8.124e-01;-4.468e-01;7.774e-01;-4.276e-01;1.035e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.013440000;1.045e+00;8.066e-01;-4.473e-01;7.716e-01;-4.279e-01;1.035e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.015488000;1.046e+00;8.011e-01;-4.476e-01;7.661e-01;-4.281e-01;1.036e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.017536000;1.046e+00;7.960e-01;-4.478e-01;7.610e-01;-4.281e-01;1.036e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
0.019584000;1.046e+00;7.914e-01;-4.479e-01;7.564e-01;-4.281e-01;1.036e+00;1.000e+01;7.502e-01;-4.245e-01;-4.245e-01
