;time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_InjectedActiveCurrent;Wind_Turbine_GEN_InjectedReactiveCurrent;Wind_Turbine_GEN_AVRSetpointPu;Wind_Turbine_GEN_NetworkFrequencyPu;Wind_Turbine_GEN_InjectedCurrent;NetworkFrequencyPu
0;0.000e+00;1.044e+00;8.327e-01;6.096e-05;7.979e-01;5.841e-05;1.051e+00;1.000e+01;8.083e-01;2.061e-02;1.045e+00;1.000e+00;8.085e-01;1.000e+00
1;1.000e-06;1.044e+00;8.327e-01;6.096e-05;7.979e-01;5.841e-05;1.051e+00;1.000e+01;8.083e-01;2.061e-02;1.045e+00;1.000e+00;8.085e-01;1.000e+00
2;2.000e-06;1.044e+00;8.327e-01;6.096e-05;7.979e-01;5.841e-05;1.051e+00;1.000e+01;8.083e-01;2.061e-02;1.045e+00;1.000e+00;8.085e-01;1.000e+00
3;3.000e-06;1.044e+00;8.327e-01;6.096e-05;7.979e-01;5.841e-05;1.051e+00;1.000e+01;8.083e-01;2.061e-02;1.045e+00;1.000e+00;8.085e-01;1.000e+00
4;5.000e-06;1.044e+00;8.327e-01;6.096e-05;7.979e-01;5.841e-05;1.051e+00;1.000e+01;8.083e-01;2.061e-02;1.045e+00;1.000e+00;8.085e-01;1.000e+00
5;9.000e-06;1.044e+00;8.327e-01;6.096e-05;7.979e-01;5.841e-05;1.051e+00;1.000e+01;8.083e-01;2.061e-02;1.045e+00;1.000e+00;8.085e-01;1.000e+00
6;1.700e-05;1.044e+00;8.327e-01;6.096e-05;7.979e-01;5.841e-05;1.051e+00;1.000e+01;8.083e-01;2.061e-02;1.045e+00;1.000e+00;8.085e-01;1.000e+00
7;3.300e-05;1.044e+00;8.327e-01;6.096e-05;7.979e-01;5.841e-05;1.051e+00;1.000e+01;8.083e-01;2.061e-02;1.045e+00;1.000e+00;8.085e-01;1.000e+00
8;6.500e-05;1.044e+00;8.327e-01;5.981e-05;7.979e-01;5.730e-05;1.051e+00;1.000e+01;8.083e-01;2.061e-02;1.045e+00;1.000e+00;8.085e-01;1.000e+00
9;1.290e-04;1.044e+00;8.327e-01;5.512e-05;7.979e-01;5.281e-05;1.051e+00;1.000e+01;8.083e-01;2.060e-02;1.045e+00;1.000e+00;8.085e-01;1.000e+00
