time;BusPDR_BUS_Voltage;BusPDR_BUS_ActivePower;BusPDR_BUS_ReactivePower;BusPDR_BUS_ActiveCurrent;BusPDR_BUS_ReactiveCurrent;Wind_Turbine_GEN_MagnitudeControlledByAVRPu;Wind_Turbine_GEN_UPuInjTerminal;Wind_Turbine_GEN_IpInjTerminal;Wind_Turbine_GEN_IqInjTerminal;Measurements_BUS_Voltage;Measurements_BUS_ActivePower;Measurements_BUS_ReactivePower;StepUp_Xfmr_XFMR_Tap;Wind_Turbine_GEN_ActivePowerSetpointPu;Wind_Turbine_GEN_ReactivePowerSetpointPu;Wind_Turbine_GEN_VoltageSetpointPu;Wind_Turbine_GEN_NetworkFrequencyPu;NetworkFrequencyPu
0.000000000;1.044e+00;8.327e-01;-3.841e-02;7.973e-01;-3.678e-02;1.033e+00;1.056e+00;8.083e-01;2.115e-02;1.044e+00;7.494e-01;-3.457e-02;1.000e+01;8.333e-01;2.154e-02;1.044e+00;5.000e+01;5.000e+01
0.484043000;1.044e+00;8.336e-01;-9.547e-03;7.981e-01;-9.140e-03;1.042e+00;1.059e+00;8.073e-01;4.841e-02;1.044e+00;7.502e-01;-8.592e-03;1.000e+01;8.333e-01;2.154e-02;1.044e+00;5.000e+01;5.000e+01
0.487043000;1.044e+00;8.336e-01;-9.456e-03;7.981e-01;-9.053e-03;1.042e+00;1.059e+00;8.073e-01;4.849e-02;1.044e+00;7.502e-01;-8.510e-03;1.000e+01;8.333e-01;2.154e-02;1.044e+00;5.000e+01;5.000e+01
1.240376000;1.044e+00;8.334e-01;-7.422e-04;7.979e-01;-7.106e-04;1.044e+00;1.059e+00;8.066e-01;5.666e-02;1.044e+00;7.501e-01;-6.680e-04;1.000e+01;8.333e-01;2.154e-02;1.044e+00;5.000e+01;5.000e+01
1.242376000;1.044e+00;8.334e-01;-7.389e-04;7.979e-01;-7.074e-04;1.044e+00;1.059e+00;8.066e-01;5.667e-02;1.044e+00;7.501e-01;-6.650e-04;1.000e+01;8.333e-01;2.154e-02;1.044e+00;5.000e+01;5.000e+01
19.989997000;1.045e+00;8.335e-01;1.120e-06;7.979e-01;1.065e-06;1.045e+00;1.060e+00;8.065e-01;5.734e-02;1.045e+00;7.501e-01;9.970e-07;1.000e+01;8.333e-01;2.154e-02;1.044e+00;5.000e+01;5.000e+01
19.989998000;1.045e+00;8.334e-01;1.120e-06;7.979e-01;1.065e-06;1.045e+00;1.060e+00;8.065e-01;5.735e-02;1.045e+00;7.501e-01;9.971e-07;1.000e+01;8.333e-01;2.154e-02;1.044e+00;5.000e+01;5.000e+01
19.990438000;1.022e+00;8.151e-01;-3.329e-06;7.979e-01;-3.264e-06;1.022e+00;1.037e+00;8.064e-01;5.849e-02;1.022e+00;7.336e-01;-2.999e-06;1.000e+01;8.333e-01;2.154e-02;1.044e+00;5.000e+01;5.000e+01
19.990566000;1.015e+00;8.098e-01;1.114e-06;7.979e-01;1.095e-06;1.015e+00;1.030e+00;8.064e-01;5.884e-02;1.015e+00;7.288e-01;1.002e-06;1.000e+01;8.333e-01;2.154e-02;1.044e+00;5.000e+01;5.000e+01
19.996197000;7.211e-01;5.803e-01;1.923e-02;8.047e-01;2.666e-02;7.269e-01;7.395e-01;8.089e-01;1.072e-01;7.211e-01;5.223e-01;1.731e-02;1.000e+01;8.333e-01;2.154e-02;1.044e+00;5.000e+01;5.000e+01
